,light,fear,Date(Local),Time(sec),Time,Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Speed(m/s)
116,4.56,0,2019-12-29 21:32:37.00,544.4030885696411,21:32:37.00,20.763560000000002,-103.362749,6.000906205260657,1634.3317782988238,0.9811357855796814
117,4.56,0,2019-12-29 21:32:38.00,545.4030903577806,21:32:38.00,20.763552999999998,-103.362758,6.000906205260657,1634.3896532784909,0.9811357855796814
118,4.56,0,2019-12-29 21:32:42.00,549.4040936231613,21:32:42.00,20.763497,-103.36277700000001,8.001208273680877,1634.6996916848261,1.125309586524963
119,4.56,0,2019-12-29 21:32:49.00,556.4041007757187,21:32:49.00,20.763447,-103.362788,8.001208273680877,1634.7376365567652,0.7996726036071777
120,4.56,0,2019-12-29 21:32:57.00,564.4041090011598,21:32:57.00,20.763406,-103.362809,8.001208273680877,1634.737636566162,1.07717764377594
121,15.84,1,2019-12-29 21:33:07.00,574.4041197299957,21:33:07.00,20.763456,-103.362813,8.001208273680877,1634.737636566162,0.2218731939792633
122,15.84,1,2019-12-29 21:33:12.00,579.4041242599487,21:33:12.00,20.763485,-103.362792,8.001208273680877,1634.737636566162,0.1724336296319962
123,15.84,1,2019-12-29 21:33:42.00,579.4654805660248,21:33:42.00,20.763388,-103.36275699999999,6.000906205260657,1634.4132456853988,0.7703737616539001
124,15.84,1,2019-12-29 21:33:43.00,580.4654816389084,21:33:43.00,20.763361,-103.36276099999999,6.000906205260657,1634.4865695483982,1.020740628242493
125,15.84,1,2019-12-29 21:33:49.00,586.4654883146286,21:33:49.00,20.763313,-103.36276099999999,6.000906205260657,1634.498578602937,0.8302319049835205
126,15.84,1,2019-12-29 21:33:58.00,595.4654968976973,21:33:58.00,20.763269,-103.362783,6.000906205260657,1634.7224039129792,0.9431609511375428
127,15.84,1,2019-12-29 21:34:04.00,601.4655033349992,21:34:04.00,20.763223,-103.36278100000001,6.000906205260657,1634.737636550929,0.6684580445289612
128,15.84,1,2019-12-29 21:34:10.00,607.4655089378358,21:34:10.00,20.763172,-103.362786,6.000906205260657,1634.7373357714841,0.2498052567243576
129,15.84,1,2019-12-29 21:34:17.00,614.4655150175096,21:34:17.00,20.763147,-103.36281600000001,6.000906205260657,1634.7376365661319,0.6597312688827515
130,15.84,1,2019-12-29 21:34:27.00,614.4043720960618,21:34:27.00,20.763136,-103.362957,6.000906205260657,1634.737636566162,0.8860072493553162
131,15.84,1,2019-12-29 21:34:28.00,615.4043726921083,21:34:28.00,20.76314,-103.36296999999999,6.000906205260657,1634.737636566162,0.9404014945030212
132,15.95,1,2019-12-29 21:34:34.00,621.4043786525726,21:34:34.00,20.763133,-103.363026,6.000906205260657,1634.737636566162,1.149967789649963
133,15.95,1,2019-12-29 21:34:39.00,626.4043829441072,21:34:39.00,20.763163,-103.363079,6.000906205260657,1634.842643890381,1.162397503852844
134,15.95,1,2019-12-29 21:34:43.00,630.4043869972229,21:34:43.00,20.763176,-103.363129,6.000906205260657,1635.497786056152,0.6897069215774536
135,15.95,1,2019-12-29 21:34:48.00,635.4043916463853,21:34:48.00,20.763194,-103.36318,8.001208273680877,1636.057533597589,1.0713127851486208
136,15.99,1,2019-12-29 21:34:55.00,642.4043984413148,21:34:55.00,20.763196,-103.363236,8.001208273680877,1636.753072394526,1.09808623790741
137,15.99,1,2019-12-29 21:35:00.00,647.4044036865233,21:35:00.00,20.763203,-103.363292,8.001208273680877,1637.381478219544,1.078204274177551
138,15.99,1,2019-12-29 21:35:02.00,649.4044052362443,21:35:02.00,20.7632,-103.363315,8.001208273680877,1637.6713650217582,0.7759926915168762
139,15.99,1,2019-12-29 21:35:02.00,649.4002602100372,21:35:02.00,20.7632,-103.363315,8.001208273680877,1637.6713650217582,0.7759926915168762
140,15.99,1,2019-12-29 21:35:03.00,650.400260925293,21:35:03.00,20.763195,-103.363325,8.001208273680877,1637.8082432984409,0.7453821301460266
141,15.99,1,2019-12-29 21:35:09.00,656.4002674818039,21:35:09.00,20.76321,-103.363377,8.001208273680877,1638.3821833427012,1.0912472009658811
142,15.99,1,2019-12-29 21:35:12.00,659.4002692699432,21:35:12.00,20.763218,-103.363431,8.001208273680877,1638.9496248629391,1.278490900993347
143,15.99,1,2019-12-29 21:35:16.00,663.4002727270126,21:35:16.00,20.76323,-103.36349,8.001208273680877,1639.724123902687,1.214251637458801
144,15.96,0,2019-12-29 21:35:21.00,668.4002777338027,21:35:21.00,20.763237,-103.363553,8.001208273680877,1640.445707970342,1.137185215950012
145,15.96,0,2019-12-29 21:35:27.00,674.4002834558488,21:35:27.00,20.763234,-103.36361,6.000906205260657,1641.159504622012,1.177038908004761
146,15.96,0,2019-12-29 21:35:31.00,678.4002875089644,21:35:31.00,20.763248,-103.363661,6.000906205260657,1641.3461317070692,0.9447728991508484
147,15.96,0,2019-12-29 21:35:36.00,683.4002922773361,21:35:36.00,20.763262,-103.363708,8.001208273680877,1641.346157073721,0.7118948698043823
148,15.96,0,2019-12-29 21:35:42.00,689.4002977609634,21:35:42.00,20.763269,-103.363755,6.000906205260657,1641.3461570739748,1.054118871688843
149,15.96,0,2019-12-29 21:35:47.00,689.3979413509369,21:35:47.00,20.763268,-103.363809,6.000906205260657,1641.3461570739748,0.87415611743927
150,15.96,0,2019-12-29 21:35:48.00,690.3979414701462,21:35:48.00,20.763264000000003,-103.36381899999999,6.000906205260657,1641.3461570739748,0.87415611743927
151,15.96,0,2019-12-29 21:35:54.00,696.3979468345642,21:35:54.00,20.763251999999998,-103.36386800000001,6.000906205260657,1641.3461570739748,0.6918901801109314
152,15.96,1,2019-12-29 21:35:59.00,701.3979525566101,21:35:59.00,20.763239000000002,-103.363926,6.000906205260657,1641.2552023620608,0.7700323462486267
153,15.96,1,2019-12-29 21:36:09.00,711.3979617357254,21:36:09.00,20.763233,-103.363974,6.000906205260657,1640.997401676598,0.1931513994932175
154,15.96,1,2019-12-29 21:36:17.00,719.3979682922362,21:36:17.00,20.763234,-103.36403299999999,8.001208273680877,1640.806990856052,0.7043434381484985
155,15.96,1,2019-12-29 21:36:22.00,724.3979729413986,21:36:22.00,20.763207,-103.364076,8.001208273680877,1640.402231715271,0.6665745377540588
156,16.22,1,2019-12-29 21:36:27.00,724.4392194747925,21:36:27.00,20.763192,-103.364142,8.001208273680877,1640.0020815263229,1.316707015037537
157,16.22,1,2019-12-29 21:36:28.00,725.4392200708389,21:36:28.00,20.763188,-103.364163,8.001208273680877,1639.835052741866,1.316707015037537
158,16.22,1,2019-12-29 21:36:33.00,730.4392248392105,21:36:33.00,20.763178,-103.36421800000001,8.001208273680877,1639.486985507853,0.300193727016449
159,16.22,1,2019-12-29 21:36:44.00,741.4392352104187,21:36:44.00,20.763189999999998,-103.364283,8.001208273680877,1639.511760482998,0.5276506543159485
160,16.22,1,2019-12-29 21:36:48.00,745.4392393827437,21:36:48.00,20.763216,-103.364324,8.001208273680877,1639.899390736366,0.2514934539794922
161,16.22,1,2019-12-29 21:36:55.00,752.4392457008362,21:36:55.00,20.763214,-103.364389,6.000906205260657,1640.012486768361,1.386579155921936
162,16.22,1,2019-12-29 21:37:00.00,757.4392498731613,21:37:00.00,20.763218,-103.364448,6.000906205260657,1639.93952156442,1.5013847351074219
163,16.33,1,2019-12-29 21:37:06.00,763.4392561912538,21:37:06.00,20.763213,-103.364508,6.000906205260657,1639.964097916729,2.640011787414551
164,16.33,1,2019-12-29 21:37:08.00,765.4392583370209,21:37:08.00,20.763208,-103.364561,6.000906205260657,1639.885920466777,4.123022556304932
165,16.33,1,2019-12-29 21:37:21.00,778.4392713308334,21:37:21.00,20.763223999999997,-103.3645,6.000906205260657,1639.972175608559,0.1478233486413956
166,16.33,1,2019-12-29 21:37:22.00,779.4392726421356,21:37:22.00,20.763222,-103.364497,6.000906205260657,1640.042670060245,0.1520664840936661
